,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
105,45,148549,10,27828,0,56
106,20,194504,10,0,0,40
107,32,63564,9,0,0,40
108,67,224984,9,15831,0,16
109,52,282674,9,0,0,40
110,35,58343,9,0,0,44
111,43,99185,9,0,0,58
112,29,353352,11,0,0,40
113,42,204235,10,0,0,40
114,68,103161,9,0,0,32
115,29,212102,9,0,0,30
116,40,388725,10,0,0,40
117,30,437825,13,0,0,20
118,61,221884,10,0,0,50
119,46,91262,10,0,0,40
120,51,101432,9,0,0,40
121,42,173628,13,0,0,40
122,25,282313,6,0,1602,40
123,49,268022,13,0,0,50
124,58,222247,6,0,1887,40
125,56,211804,13,15024,0,50
126,51,351278,13,0,0,50
127,66,112871,7,0,0,30
128,38,119177,9,0,0,55
129,53,220786,10,0,0,60
130,17,159849,7,0,0,30
131,28,183151,12,0,0,60
132,37,362062,15,99999,0,50
133,29,215504,9,0,0,40
134,57,167864,11,0,0,40
135,27,124680,14,0,0,40
136,28,205337,9,0,0,40
137,31,61308,6,0,0,40
138,37,154571,10,0,0,40
139,39,177075,9,0,0,40
140,34,181087,11,0,0,45
141,32,24961,11,0,0,40
142,59,31359,14,15024,0,80
143,42,70055,9,0,0,40
144,47,148171,16,0,0,50
145,26,190350,13,0,0,35
146,39,175390,9,0,0,40
147,37,125550,9,14084,0,35
148,33,296453,14,0,0,15
149,45,194698,10,0,0,40
150,62,31577,9,0,0,18
151,58,159021,5,0,0,40
152,50,114117,9,0,0,32
153,26,272669,13,0,0,20
154,41,263339,9,0,0,40
155,36,745768,10,0,0,40
156,47,109921,9,0,0,32
157,48,145886,13,0,0,60
158,63,78383,9,0,0,45
159,31,243773,5,0,0,20
160,23,142766,10,1055,0,20
161,36,373952,6,0,0,40
162,27,328981,9,0,0,40
163,24,232841,9,0,0,35
164,41,209344,9,0,0,40
165,25,188119,9,0,0,40
166,55,125000,9,0,0,40
167,51,123429,14,0,0,50
168,20,41356,10,0,0,40
169,19,184737,9,0,1721,40
170,42,221172,9,0,0,40
171,36,222294,13,0,0,40
172,46,63299,9,0,0,50
173,19,249147,9,0,0,30
174,22,229987,10,0,0,32
175,33,262042,9,0,1138,40
176,20,196643,9,0,0,40
177,44,222504,10,0,0,45
178,39,121468,13,0,0,35
179,62,345780,11,0,0,40
180,55,199067,13,15024,0,42
181,24,283731,13,0,0,40
182,34,73199,7,0,0,40
183,38,194534,14,99999,0,60
184,51,467611,5,0,0,40
185,42,211450,14,0,0,45
186,17,341395,6,0,0,20
187,26,132749,13,0,0,80
188,31,268482,5,0,0,40
189,52,175622,11,0,0,40
190,53,424079,14,15024,0,55
191,29,74500,13,0,0,40
192,67,92061,9,0,0,8
193,20,197207,9,0,0,30
194,31,340917,9,14344,0,40
195,31,227886,10,0,0,35
196,42,340148,10,0,0,40
197,23,189468,11,0,0,30
198,24,142528,10,0,0,20
199,18,146586,9,0,0,60
200,23,182342,9,0,0,40
201,57,290661,16,0,0,60
202,34,204461,16,0,0,60
203,44,170924,10,7298,0,40
204,22,36011,11,0,0,30
205,52,174767,10,0,0,45
206,47,116279,9,0,0,43
207,24,142022,10,0,0,50
208,36,318972,10,0,0,65
209,32,48014,10,0,0,35
210,70,232871,10,0,0,30
211,31,219619,9,0,0,48
212,52,186303,10,15024,0,55
213,40,238329,13,0,0,45
214,61,30475,4,0,0,40
215,50,98980,13,7298,0,40
216,53,47396,10,0,0,50
217,36,160192,9,0,0,40
218,57,104996,10,0,0,42
219,28,109165,9,0,0,40
220,49,62546,13,0,0,40
221,33,215288,7,0,0,40
222,39,160120,16,0,0,40
223,62,200922,4,0,0,40
224,54,154949,7,0,0,40
225,46,148738,9,0,1740,35
226,42,97688,10,5178,0,40
227,24,438839,13,0,0,40
228,52,96359,16,0,0,57
229,44,162643,9,0,0,43
230,41,146659,10,0,0,40
231,19,459248,9,0,0,30
232,69,34339,9,0,0,40
233,59,171328,6,0,0,30
234,31,194901,9,0,0,50
235,21,518530,10,0,0,40
236,55,157079,10,0,0,40
237,45,203653,9,7298,0,40
238,26,199143,9,0,0,50
239,48,317360,14,0,0,40
240,43,99212,11,3103,0,48
241,42,383493,14,0,0,50
242,32,166634,9,0,0,40
243,31,409622,13,0,0,36
244,57,120302,9,0,0,40
245,38,186145,10,0,0,40
246,39,57424,13,0,0,35
247,51,207449,13,0,0,55
248,35,145308,10,0,0,40
249,25,129784,10,0,0,40
250,31,375680,13,0,0,40
251,43,188199,5,0,0,40
252,38,201410,13,0,0,40
253,64,31826,9,0,0,45
254,45,32356,13,0,0,51
255,48,101233,11,0,0,15
256,25,168403,13,0,1741,40
257,38,116580,13,0,0,20
258,38,472604,13,0,0,35
259,24,236769,12,0,0,40
260,45,72844,9,0,0,46
261,51,237630,9,7298,0,50
262,22,200374,9,0,0,35
263,44,228057,9,0,0,40
264,50,268553,9,7298,0,40
265,47,242552,10,0,0,40
266,24,204935,14,0,0,56
267,44,187720,9,0,0,41
268,23,304386,9,0,0,40
269,32,186824,13,0,0,40
270,27,120126,10,0,0,40
271,35,170092,9,0,0,20
272,24,255474,7,0,0,40
273,27,224849,9,0,0,40
274,61,151369,15,0,0,50
275,35,79649,13,0,0,50
276,27,335421,13,0,0,20
277,43,243580,13,0,0,40
278,26,187891,9,0,0,40
279,32,180284,6,0,0,40
280,45,98881,7,0,0,32
281,51,147954,9,3411,0,38
282,41,284086,11,0,0,60
283,43,35034,13,0,0,21
284,34,252529,13,0,0,48
285,17,270942,3,0,0,48
286,50,127151,14,0,0,40
287,20,133061,5,0,0,40
288,73,74040,4,0,0,40
289,44,691903,14,0,0,60
290,33,80058,9,0,0,40
291,67,106143,16,20051,0,40
292,29,204984,9,0,0,50
293,47,233511,14,27828,0,60
294,22,221745,10,0,0,40
295,43,221172,13,0,0,35
296,37,103986,13,7688,0,39
297,18,274057,7,0,0,8
298,31,210562,9,0,0,65
299,41,57924,10,7688,0,50
300,47,161950,9,0,0,32
301,34,112212,9,0,1485,40
302,47,70943,9,5178,0,40
303,54,172991,9,0,0,40
304,55,254627,9,0,0,40
305,48,70209,10,0,0,20
306,63,165667,9,0,0,40
307,52,190762,2,0,0,40
308,26,187248,9,0,0,40
309,60,160625,10,0,0,47
310,34,156809,10,0,1504,60
311,43,286750,15,0,0,99
312,43,183891,9,0,0,40
313,62,134768,16,7688,0,40
314,43,208277,14,0,0,45
315,41,213019,11,0,0,38
316,31,254293,10,0,0,40
317,35,538583,7,3674,0,40
318,24,117210,9,0,0,50
319,29,116394,13,0,0,50
320,60,82775,10,0,0,55
321,31,139822,9,0,0,40
322,27,285897,9,0,1848,45
323,24,309055,10,0,0,15
324,19,42750,10,0,0,55
325,41,47902,13,0,0,50
326,22,157145,11,0,0,50
327,37,259089,13,0,0,40
328,61,229744,3,0,0,40
329,18,238401,10,0,0,25
330,47,154033,10,0,1876,40
331,34,146980,9,0,0,65
332,47,357848,9,0,0,40
333,36,347491,16,0,0,35
334,65,258561,13,0,0,20
335,44,157249,13,0,1977,50
336,17,156736,6,0,0,12
337,53,302868,13,0,0,50
338,42,210525,10,0,0,20
339,37,103408,9,0,0,40
340,33,175502,13,0,0,60
341,29,214881,9,0,0,40
342,29,83742,9,0,0,45
343,38,54953,10,0,0,38
344,70,102610,6,0,0,32
345,47,198901,9,0,0,48
346,20,157145,10,0,2258,10
347,33,175697,13,15024,0,60
348,33,309630,9,0,0,40
349,57,121111,9,0,0,40
350,39,283338,13,7298,0,40
351,27,119170,7,0,0,45
352,26,160261,14,0,0,20
353,38,334366,10,0,0,15
354,34,174463,11,0,0,50
355,56,130454,13,0,0,40
356,25,135568,9,0,0,40
357,62,198686,9,0,0,40
358,39,98587,10,0,0,45
359,38,172755,9,0,0,40
360,51,313702,9,0,0,40
361,22,24008,10,0,0,72
362,33,119628,16,0,0,50
363,50,132716,10,0,0,50
364,46,98350,6,0,0,37
365,37,108540,9,0,0,40
366,29,190330,10,0,0,10
367,50,31621,9,0,0,40
368,40,403550,10,0,0,50
369,24,194604,13,0,0,15
370,38,167440,9,0,0,20
371,35,36214,13,4386,0,47
372,51,239155,11,0,0,40
373,31,203463,13,0,0,40
374,29,444304,13,0,0,40
375,40,174373,13,0,0,50
376,46,282538,11,0,0,40
377,37,26898,9,0,0,12
378,29,106153,9,0,0,50
379,61,166124,9,0,0,40
380,31,169240,9,0,0,40
381,20,29810,10,0,0,40
382,37,109133,14,27828,0,60
383,72,114761,4,0,0,20
384,41,90692,9,0,0,40
385,55,113398,10,0,0,40
386,27,617860,10,0,0,40
387,53,144586,10,0,0,40
388,46,192360,13,0,0,35
389,35,190226,9,0,0,40
390,45,185399,14,0,0,55
391,41,309056,16,0,0,50
392,36,175232,9,5178,0,40
393,62,122246,14,0,0,32
394,25,344719,9,0,0,4
395,47,185254,3,0,0,40
396,45,28359,9,0,0,10
397,55,191367,9,0,0,40
398,58,371064,9,0,0,20
399,48,47686,7,0,0,40
400,22,143062,9,0,0,40
401,64,65991,9,7298,0,45
402,52,63004,14,0,0,40
403,32,353994,13,0,0,40
404,60,166330,9,99999,0,40
405,54,225599,14,7298,0,40
406,50,36489,6,0,0,40
407,31,61559,9,0,0,50
408,45,293691,9,0,1590,40
409,27,116662,9,0,0,40
410,36,336595,9,0,0,50
411,38,28887,7,0,0,50
412,57,89392,14,0,0,40
413,52,192065,10,0,0,40
414,53,340723,15,0,0,40
415,36,301227,3,0,0,35
416,19,236396,7,0,0,40
417,27,153546,13,0,0,40
418,45,207107,12,0,2080,40
419,40,220977,16,3103,0,40
420,34,198183,9,0,0,40
421,60,168223,13,0,0,30
422,51,63685,9,0,0,50
423,22,202920,9,99999,0,40
424,57,136107,5,0,0,40
425,23,223019,9,0,0,40
426,50,151580,12,0,0,45
427,32,127451,10,0,0,38
428,46,187370,13,0,1504,40
429,21,85733,10,0,0,40
430,21,353628,6,0,0,38
431,31,222654,13,0,0,40
432,22,446140,9,0,0,55
433,34,56121,7,0,0,40
434,37,78928,5,3137,0,40
435,18,188616,7,0,0,15
436,47,103757,12,0,0,40
437,53,143822,14,0,0,36
438,32,124919,13,0,0,50
439,48,160647,10,0,0,40
440,45,287920,14,0,0,50
441,34,100079,13,0,0,55
442,19,369678,9,0,0,30
443,30,254905,9,0,0,40
444,38,237608,13,0,2444,45
445,49,168191,4,0,0,70
446,37,171150,9,0,1887,50
447,25,499233,9,0,0,40
448,49,245305,6,0,0,42
449,37,48976,13,4865,0,45
450,22,209131,12,0,0,20
451,42,331651,14,8614,0,50
452,28,237466,10,0,0,30
453,48,181758,10,0,0,40
454,34,58305,9,0,1573,40
455,22,51985,10,0,0,30
456,33,124187,7,0,0,60
457,40,374137,9,0,0,40
458,24,216129,9,0,0,40
459,59,195820,9,0,0,40
460,41,221947,10,0,1887,50
461,47,127678,10,0,0,80
462,34,346034,13,0,0,40
463,34,232855,10,0,0,37
464,21,180052,10,0,0,30
465,71,66624,13,0,2392,60
466,30,178255,13,0,0,70
467,48,78529,14,0,0,60
468,45,184581,9,0,0,40
469,47,265097,9,0,0,45
470,30,89625,10,0,0,5
471,34,54850,13,0,1590,50
472,37,58337,10,0,0,40
473,61,149981,9,2414,0,5
474,19,243960,10,0,0,16
475,53,274528,13,0,0,70
476,51,162944,9,0,0,40
477,39,29814,9,0,0,40
478,43,194636,13,0,0,48
479,40,84232,9,0,0,4
480,42,65950,9,0,0,40
481,51,25932,9,0,0,60
482,43,221172,15,0,1977,40
483,30,70377,10,0,0,40
484,21,184568,9,0,0,40
485,20,66917,7,0,0,40
486,28,294936,13,0,0,45
487,50,169925,9,0,0,15
488,60,232618,13,0,0,35
489,37,133328,9,0,0,40
490,49,160187,5,0,0,16
491,47,262244,13,0,0,60
492,28,113870,9,0,0,40
493,22,126613,10,0,0,20
494,32,117927,10,0,0,40
495,33,124827,9,0,0,40
496,23,113466,9,0,0,40
497,25,178505,10,0,1504,45
498,48,191389,10,0,0,50
499,23,309580,14,0,0,40
500,38,240467,14,0,0,35
501,42,355728,11,0,0,44
502,24,86745,13,0,0,16
503,71,149386,9,0,0,9
504,54,93605,9,0,1848,40
505,57,562558,9,0,0,40
506,17,63734,6,0,0,20
507,45,26781,10,0,0,40
508,46,376789,9,0,0,15
509,23,144165,13,0,0,30
510,44,202872,13,0,0,45
511,44,367749,13,0,0,45
512,23,57827,13,0,0,40
513,35,320305,9,0,0,32
514,18,452452,6,0,0,20
515,63,236338,9,0,0,35
516,17,206010,8,0,0,8
517,46,213611,4,0,1594,24
518,36,137421,11,0,0,37
519,44,199191,9,0,0,30
520,57,190554,6,0,0,60
521,32,118551,13,0,0,35
522,54,299324,3,0,0,40
523,33,216145,9,0,0,40
524,25,157617,9,0,0,40
525,27,183523,13,0,0,45
526,67,191800,13,6360,0,35
527,34,79586,13,0,0,60
528,46,155933,13,0,1602,8
529,44,205051,6,0,0,40
530,46,249686,15,0,0,50
531,29,157308,7,2829,0,14
532,46,52291,13,7688,0,45
533,42,69333,13,0,0,50
534,29,54411,9,0,0,50
535,40,96554,9,0,0,40
536,35,25803,9,0,0,40
537,31,133861,12,0,0,40
538,30,181091,13,0,0,40
539,35,76845,5,0,0,40
540,65,193216,9,9386,0,40
541,33,113364,9,0,0,40
542,47,27067,9,0,0,40
543,41,35166,15,15024,0,50
544,44,98989,13,0,0,38
545,19,269657,10,0,0,35
546,17,139183,6,0,0,15
547,28,312588,6,0,0,40
548,41,267252,10,0,1902,40
549,42,33126,12,0,0,60
550,47,326857,11,5013,0,40
551,27,335421,14,0,0,40
552,37,333651,9,0,0,42
553,53,95540,10,1471,0,40
554,51,160703,8,0,0,45
555,35,185769,10,0,0,40
556,58,61474,9,0,0,55
557,41,133060,12,0,0,40
558,33,123920,10,0,0,40
559,20,256211,10,0,0,40
560,46,39363,10,0,0,10
561,19,283033,7,0,0,40
562,64,106538,14,0,0,50
563,53,43952,14,15024,0,38
564,34,207668,10,0,1887,40
565,26,28443,11,0,0,40
566,20,347530,9,0,0,25
567,28,37359,13,0,0,60
568,19,84610,10,0,0,30
569,48,287480,14,0,0,40
570,66,262552,10,0,0,7
571,50,185846,9,0,0,40
572,42,119281,13,0,0,60
573,49,248895,9,0,0,45
574,74,183701,6,0,0,6
575,58,158002,10,0,0,40
576,64,187601,10,0,0,40
577,49,192349,14,4650,0,40
578,39,177907,9,0,1887,40
579,20,386864,6,0,0,35
580,48,125120,10,0,0,37
581,40,144928,10,0,0,40
582,63,183608,6,0,0,40
583,28,123147,10,0,1887,40
584,51,240358,10,0,0,20
585,48,182313,10,0,0,40
586,39,252327,5,0,0,35
587,22,216181,7,0,0,45
588,22,134181,9,0,0,50
589,51,137815,10,7298,0,40
590,53,98791,10,0,0,40
591,35,265662,13,0,0,40
592,62,247483,10,0,0,40
593,36,195516,9,0,0,40
594,40,69333,13,0,0,40
595,26,375980,9,0,0,37
596,76,98695,10,0,0,20
597,22,188274,12,0,0,40
598,41,194636,13,0,0,60
599,59,148626,6,0,0,40
600,54,226735,9,0,0,45
601,60,355865,14,0,0,50
602,62,271431,5,0,0,42
603,47,306473,12,0,0,40
604,25,171114,9,0,0,48
605,52,149650,16,0,0,40
606,39,186420,9,0,0,40
607,20,56322,10,2176,0,25
608,39,315291,9,0,0,40
609,50,200618,12,0,0,40
610,48,158924,9,0,0,40
611,17,179715,6,0,0,40
612,43,117627,10,0,0,40
613,35,184655,7,0,0,50
614,50,307392,14,0,0,40
615,23,324637,10,0,0,30
616,30,46712,9,0,0,40
617,32,175856,13,0,1902,40
618,29,189282,9,0,0,27
619,43,182437,13,0,0,45
620,35,185621,13,0,0,40
621,38,149347,10,0,0,60
622,24,382146,10,0,0,40
623,18,120283,8,0,0,24
624,38,48093,9,0,0,40
625,41,144460,10,0,0,40
626,64,216208,10,0,0,40
627,69,230417,16,0,0,40
628,34,106014,10,0,0,40
629,30,247444,10,0,0,40
630,41,179533,9,0,0,35
631,21,249727,9,0,0,22
632,65,85787,4,0,0,40
633,41,303510,9,0,0,40
634,22,228452,6,0,0,30
635,31,341672,10,0,0,50
636,20,174391,9,0,0,40
637,44,165599,9,0,0,48
638,19,302945,10,0,0,10
639,33,182926,13,15024,0,50
640,51,317396,10,0,0,40
641,51,195844,10,0,0,40
642,28,203710,13,0,0,40
643,62,205643,15,0,0,45
644,26,386949,9,0,0,25
645,21,260254,9,0,0,40
646,27,410351,9,0,0,40
647,35,85548,10,0,0,40
648,40,297396,10,0,0,60
649,58,114362,10,0,0,30
650,71,422149,10,20051,0,40
651,45,191098,13,0,0,40
652,59,197148,9,0,0,24
653,67,257557,4,10566,0,40
654,25,312966,5,0,0,40
655,25,218948,4,0,0,32
656,28,429507,12,0,0,40
657,45,338105,10,0,0,40
658,35,67728,10,0,2051,45
659,38,405284,13,0,0,35
660,19,69927,9,0,0,16
661,59,106748,4,0,0,99
662,18,192409,10,0,0,20
663,36,167440,10,0,0,44
664,40,146908,9,0,1902,40
665,65,78875,10,2290,0,40
666,50,98975,13,15024,0,40
667,32,115631,10,4101,0,50
668,42,208875,10,0,0,40
669,32,223267,14,0,0,48
670,28,338376,13,0,0,40
671,21,118693,10,0,0,40
672,34,174789,13,0,2001,40
673,19,184710,10,0,0,20
674,26,152436,9,0,0,50
675,38,222450,3,0,0,40
676,54,194580,11,0,0,50
677,29,130045,4,0,0,40
678,21,33831,9,0,0,40
679,22,138575,9,0,0,56
680,40,221172,14,0,0,65
681,43,167599,7,0,0,25
682,69,337720,9,0,0,24
683,40,75313,13,7688,0,66
684,51,194475,10,0,0,40
685,50,198681,10,0,0,70
686,50,202044,13,0,0,45
687,43,115806,14,0,2547,40
688,40,94080,12,0,0,40
689,34,235124,9,0,0,35
690,35,283305,13,0,0,40
691,23,215443,10,0,0,15
692,38,165799,10,0,0,12
693,53,68684,9,0,0,40
694,29,106972,14,0,0,35
695,29,154017,9,0,0,10
696,63,225102,9,0,0,40
697,31,284703,14,0,0,40
698,69,41419,4,0,0,20
699,28,301654,13,0,0,40
700,56,174533,13,0,0,45
701,17,216595,7,0,0,20
702,28,288598,9,0,0,35
703,36,61778,9,15024,0,40
704,22,141698,9,0,0,40
705,18,391257,10,0,0,40
706,42,32981,9,0,0,40
707,50,138358,10,0,0,28
708,87,90338,9,0,0,2
709,37,116554,14,0,0,70
710,22,171176,9,0,0,48
711,51,54342,15,27828,0,60
712,28,201175,7,0,0,40
713,32,194141,9,0,0,50
714,49,215096,5,0,0,20
715,19,60688,10,0,0,35
716,28,329426,13,0,0,40
717,51,74660,6,0,0,40
718,23,69911,1,0,0,15
719,34,56150,7,0,0,40
720,29,421065,9,0,0,48
721,29,45554,10,0,0,40
722,33,312881,13,0,0,40
723,21,132243,12,0,0,5
724,44,157236,10,0,0,40
725,41,116391,13,0,0,40
726,28,138692,13,0,0,40
727,40,182302,9,0,0,40
728,66,186324,13,0,0,5
729,49,186078,14,0,0,50
730,61,190682,9,0,1669,50
731,32,509350,10,0,0,50
732,22,401690,10,0,0,20
733,28,160981,10,0,0,52
734,33,31481,13,0,0,24
735,25,362826,9,0,0,45
736,37,205359,10,0,0,15
737,32,198068,9,0,0,60
738,25,108542,13,0,0,35
739,17,140027,7,0,0,25
740,33,332379,9,0,0,40
741,50,156877,7,0,0,70
742,46,222374,9,0,0,43
743,62,208711,13,7688,0,50
744,47,129513,13,0,0,60
745,38,94559,13,7688,0,50
746,36,256636,9,0,0,40
747,39,305597,9,0,0,40
748,39,61343,6,0,0,60
749,23,277328,10,0,0,32
750,52,189216,9,0,0,65
751,46,55377,13,0,0,40
752,24,194654,9,0,0,40
753,24,88676,9,0,0,35
754,66,36364,9,0,2267,40
755,31,318647,7,0,0,40
756,68,168794,4,0,0,30
757,60,98350,10,0,0,60
758,26,373553,10,0,0,42
759,25,297154,9,2407,0,40
760,41,159549,13,0,0,40
761,36,181065,12,0,0,40
762,31,156464,6,0,0,40
763,21,222490,11,0,0,40
764,69,124930,3,0,2267,40
765,58,473836,4,0,0,45
766,40,109762,10,0,0,40
767,25,117833,10,0,0,19
768,32,110331,9,0,0,65
769,30,78980,11,0,0,40
770,30,261023,10,0,0,50
771,38,234901,14,0,1977,60
772,48,425199,10,0,0,45
773,83,153183,13,0,2392,55
774,19,186096,9,0,0,30
775,39,277886,13,0,0,30
776,47,268022,9,0,0,55
777,48,180695,10,0,0,38
778,55,105138,9,0,0,40
779,56,206399,9,0,0,40
780,38,119177,13,0,0,40
781,60,198170,13,0,0,45
782,57,299358,9,0,1719,25
783,31,288983,10,0,0,40
784,68,89011,16,0,0,50
785,35,200445,9,0,1974,40
786,65,105491,13,99999,0,40
787,45,275995,13,0,0,50
788,17,114798,6,0,0,20
789,33,176185,9,0,0,40
790,62,211408,11,0,0,40
791,56,131608,10,0,0,40
792,40,283174,11,0,0,60
793,24,257500,9,0,0,40
794,27,38353,11,0,0,60
795,20,174714,10,0,0,20
796,67,188903,4,2414,0,40
797,35,61343,10,0,0,45
798,49,261059,6,2176,0,40
799,39,129573,13,0,0,50
800,26,213412,7,0,0,40
801,36,219611,13,2174,0,50
802,32,199655,10,0,1740,40
803,36,116133,9,0,0,57
804,34,82623,9,0,0,20
805,44,155930,13,0,0,60
806,37,212465,9,0,0,40
807,46,178686,13,0,0,38
808,23,227943,12,0,0,30
809,38,182526,13,0,0,40
810,41,347653,15,0,1977,50
811,28,175262,10,0,0,40
812,53,103995,13,0,1876,54
813,46,243190,9,7688,0,40
814,18,78567,10,0,0,30
815,42,37937,11,0,0,45
816,26,211798,9,0,0,40
817,44,171589,11,7688,0,40
818,55,227158,13,0,0,40
819,46,116952,4,0,0,45
820,25,176616,9,0,0,40
821,50,154779,10,0,0,40
822,28,215955,9,0,0,40
823,31,38158,10,0,0,40
824,48,97863,13,0,0,45
825,59,116442,10,0,0,50
826,52,287927,9,15024,0,40
827,55,316027,4,0,0,40
828,41,26598,9,0,0,40
829,36,255191,14,0,1408,40
830,28,190391,13,0,0,40
831,22,292933,13,0,0,10
832,52,146579,9,0,0,40
833,65,208452,10,0,0,35
834,41,70645,14,4650,0,55
835,53,246117,9,0,0,40
836,41,130408,9,0,0,38
837,52,30731,13,0,0,45
838,38,359001,11,0,0,42
839,61,243283,9,0,0,40
840,43,304906,13,0,0,45
841,46,231347,10,0,0,20
842,33,204042,10,0,0,55
843,44,245317,10,0,0,56
844,33,50276,13,0,0,40
845,39,103984,13,0,0,40
846,59,175689,10,0,0,14
847,47,312088,9,0,0,40
848,46,155659,13,0,0,40
849,31,672412,7,0,0,40
850,51,96062,12,0,0,60
851,24,174182,7,0,0,24
852,45,252079,10,0,0,50
853,36,257250,11,0,0,99
854,41,314322,9,0,0,40
855,37,198216,12,0,0,40
856,26,43408,13,0,0,40
857,32,53206,13,0,0,50
858,36,171676,13,0,1741,40
859,37,220644,9,0,0,40
860,58,281792,13,0,0,40
861,56,168625,9,4101,0,40
862,28,130067,13,0,0,40
863,51,82566,9,0,0,50
864,22,216984,9,0,0,40
865,22,440969,10,0,0,24
866,29,96718,9,0,0,37
867,23,142547,9,0,0,40
868,21,314182,9,0,0,40
869,47,166634,10,0,0,40
870,24,43387,13,0,0,55
871,50,72351,13,0,0,45
872,20,122244,9,0,0,28
873,48,218835,14,0,0,50
874,57,370890,9,0,2258,40
875,24,198259,9,0,0,30
876,37,378916,9,0,0,40
877,18,208447,8,0,0,6
878,49,318331,9,0,0,40
879,39,194668,9,0,0,16
880,67,174603,9,0,0,35
881,48,189462,10,7688,0,40
882,22,211798,10,0,0,40
883,33,316663,10,0,0,50
884,26,431861,6,0,0,40
885,45,178344,11,0,0,30
886,20,308654,10,0,0,20
887,44,569761,11,0,0,40
888,26,138152,8,0,0,48
889,59,307423,5,0,0,50
890,28,196621,9,0,0,37
891,39,305597,9,0,0,40
892,26,333677,13,2463,0,35
893,73,281907,7,0,0,3
894,30,356882,16,0,0,20
895,30,115932,9,99999,0,50
896,38,95336,13,0,0,50
897,36,166880,9,0,0,70
898,33,79303,9,0,0,45
899,41,198196,9,0,0,40
900,30,230224,13,0,0,55
901,54,124993,9,0,0,40
902,83,213866,9,0,0,8
903,41,32016,9,0,0,62
904,42,250121,7,0,0,40
905,41,203943,8,0,0,40
906,41,168098,13,0,0,50
907,30,390879,11,0,0,36
908,32,124187,5,0,0,40
909,40,162108,13,0,0,50
910,61,221447,9,0,0,40
911,48,233511,9,0,0,50
912,51,103407,9,0,0,40
913,36,198841,14,0,0,40
914,19,425447,9,0,0,40
915,21,162228,9,0,0,30
916,44,43711,13,0,0,48
917,29,161155,12,0,0,50
918,42,20809,9,0,0,75
919,25,170428,13,0,0,28
